S1	E1	S2	E2	LEN1	LEN2	%IDY	TAGS	
682132	686771	658799	663477	4640	4679	95.54	chr01	chr01
686762	688460	670234	671947	1699	1714	98.14	chr01	chr01
689165	690390	671930	673119	1226	1190	91.45	chr01	chr01
690678	692073	673193	674574	1396	1382	95.59	chr01	chr01
692129	697415	674573	679834	5287	5262	98.32	chr01	chr01
693543	697663	696951	701074	4121	4124	98.50	chr01	chr01
697660	709320	702529	714149	11661	11621	98.95	chr01	chr01
709321	709854	41946638	41946111	534	528	97.19	chr01	chr01
709852	725976	714139	730302	16125	16164	99.49	chr01	chr01
725967	729581	730987	734573	3615	3587	97.24	chr01	chr01
729722	730608	734706	735595	887	890	94.61	chr01	chr01
730606	734034	735832	739261	3429	3430	94.27	chr01	chr01
734033	734391	739672	740050	359	379	89.09	chr01	chr01
736075	737567	740340	741833	1493	1494	91.91	chr01	chr01
751924	754444	791387	793910	2521	2524	93.63	chr01	chr01
755900	756312	794133	794526	413	394	82.94	chr01	chr01
756612	756798	794720	794914	187	195	88.78	chr01	chr01
757155	758105	795275	796230	951	956	88.73	chr01	chr01
758155	761074	796474	799372	2920	2899	94.80	chr01	chr01
761763	761999	14574556	14574775	237	220	89.87	chr01	chr01
762544	762858	24381771	24381455	315	317	91.25	chr01	chr01
763551	766626	15606274	15609350	3076	3077	98.83	chr01	chr01
772632	772876	5342293	5342534	245	242	91.84	chr01	chr01
772862	772989	883272	883400	128	129	94.57	chr01	chr01
780532	780867	20820601	20820936	336	336	94.94	chr01	chr01
784880	785116	34427977	34428213	237	237	99.16	chr01	chr01
789675	792472	20820935	20823740	2798	2806	94.25	chr01	chr01
793122	794073	15004287	15005237	952	951	89.02	chr01	chr01
802712	804760	742181	744219	2049	2039	90.88	chr01	chr01
804900	806138	744221	745466	1239	1246	95.44	chr01	chr01
806583	806742	746241	746407	160	167	90.48	chr01	chr01
806742	808749	746684	748702	2008	2019	94.35	chr01	chr01
809073	820137	751682	762761	11065	11080	97.29	chr01	chr01
820133	824175	769114	773156	4043	4043	99.85	chr01	chr01
824170	832795	773203	781843	8626	8641	99.14	chr01	chr01
832793	833259	782928	783385	467	458	86.36	chr01	chr01
833851	835214	791322	792674	1364	1353	95.39	chr01	chr01
841312	857405	798145	814195	16094	16051	97.86	chr01	chr01
857327	857417	814194	814285	91	92	96.74	chr01	chr01
857415	857964	814809	815358	550	550	96.93	chr01	chr01
860013	860320	815349	815674	308	326	90.55	chr01	chr01
860315	861746	821064	822460	1432	1397	96.44	chr01	chr01
861740	862851	822498	823608	1112	1111	99.19	chr01	chr01
862849	863280	42265369	42264938	432	432	94.69	chr01	chr01
862886	863282	34392048	34392443	397	396	93.00	chr01	chr01
863285	864195	823605	824473	911	869	89.69	chr01	chr01
864826	868817	824471	828382	3992	3912	95.41	chr01	chr01
870309	870464	828374	828528	156	155	96.15	chr01	chr01
870597	873535	828732	831689	2939	2958	94.95	chr01	chr01
874095	874660	831678	832243	566	566	97.70	chr01	chr01
885741	886843	834066	835165	1103	1100	94.90	chr01	chr01
886839	888060	841164	842386	1222	1223	94.07	chr01	chr01
888056	888310	867791	868041	255	251	95.69	chr01	chr01
888518	888633	868034	868149	116	116	95.69	chr01	chr01
888632	888941	868392	868700	310	309	94.84	chr01	chr01
888933	889245	868949	869282	313	334	91.92	chr01	chr01
889504	891791	869282	871530	2288	2249	94.38	chr01	chr01
895071	895458	262843	263228	388	386	98.20	chr01	chr01
895424	895591	264053	264220	168	168	98.81	chr01	chr01
895591	895718	34966692	34966818	128	127	96.09	chr01	chr01
896304	896795	14312238	14311740	492	499	85.19	chr01	chr01
899489	900140	871548	872196	652	649	97.85	chr01	chr01
899649	900949	920364	921649	1301	1286	92.40	chr01	chr01
903302	903537	5341409	5341646	236	238	91.18	chr01	chr01
909529	909828	22318894	22318595	300	300	98.00	chr01	chr01
910282	910679	913104	913488	398	385	89.70	chr01	chr01
912537	913677	904558	905698	1141	1141	89.85	chr01	chr01
916527	917094	17203314	17202773	568	542	85.51	chr01	chr01
919709	919958	383880	384131	250	252	94.47	chr01	chr01
920324	921025	919526	920144	702	619	82.44	chr01	chr01
920987	921157	908725	908896	171	172	95.35	chr01	chr01
923121	923307	4463183	4463367	187	185	88.77	chr01	chr01
923865	926436	909567	912116	2572	2550	93.21	chr01	chr01
923858	925193	832404	833743	1336	1340	93.59	chr01	chr01
926060	926549	13335274	13334778	490	497	86.25	chr01	chr01
926697	928013	875541	876858	1317	1318	92.96	chr01	chr01
928486	928760	877025	877299	275	275	92.73	chr01	chr01
928825	928966	877563	877707	142	145	95.86	chr01	chr01
929050	931007	925450	927405	1958	1956	96.88	chr01	chr01
931006	931109	872200	872303	104	104	97.12	chr01	chr01
931110	941797	927396	938051	10688	10656	97.02	chr01	chr01
943013	943542	939186	939723	530	538	95.91	chr01	chr01
943678	967584	939725	963646	23907	23922	98.52	chr01	chr01
967630	968227	965216	965813	598	598	99.83	chr01	chr01
968222	970724	977099	979554	2503	2456	97.17	chr01	chr01
970716	971308	980174	980767	593	594	97.82	chr01	chr01
972432	973020	980759	981346	589	588	98.30	chr01	chr01
973095	990172	981958	999134	17078	17177	98.37	chr01	chr01
990428	990798	999375	999754	371	380	94.74	chr01	chr01
990793	991706	1000663	1001573	914	911	98.47	chr01	chr01
991698	999702	1009138	1017142	8005	8005	97.69	chr01	chr01
999930	1005326	1017134	1022527	5397	5394	96.97	chr01	chr01
1005589	1006628	1022524	1023571	1040	1048	96.86	chr01	chr01
1006533	1018344	1023629	1035427	11812	11799	99.25	chr01	chr01
1018340	1021971	1035464	1039119	3632	3656	97.04	chr01	chr01
1021971	1022628	1039361	1040039	658	679	85.49	chr01	chr01
1022795	1027364	1040126	1044740	4570	4615	96.42	chr01	chr01
1027268	1053649	1046548	1072923	26382	26376	99.72	chr01	chr01
1053603	1149850	1072923	1169171	96248	96249	99.95	chr01	chr01
1129814	1193663	1149116	1212983	63850	63868	99.95	chr01	chr01
1193663	1302166	1213112	1321695	108504	108584	99.77	chr01	chr01
1302163	1304783	1323221	1325828	2621	2608	97.68	chr01	chr01
1304807	1306656	1327317	1329176	1850	1860	96.15	chr01	chr01
1306160	1306814	1330976	1331634	655	659	91.14	chr01	chr01
1308515	1311264	2078310	2081053	2750	2744	96.44	chr01	chr01
1311268	1312473	1331632	1332838	1206	1207	98.18	chr01	chr01
1313235	1314469	1342710	1343944	1235	1235	97.01	chr01	chr01
1314729	1318747	1343940	1347880	4019	3941	93.89	chr01	chr01
1319067	1356542	1347875	1385379	37476	37505	99.12	chr01	chr01
1356534	1357094	1388948	1389521	561	574	96.34	chr01	chr01
1361339	1368255	1389560	1396499	6917	6940	97.95	chr01	chr01
1368253	1374000	1429265	1435009	5748	5745	99.55	chr01	chr01
1373981	1377440	1435198	1438668	3460	3471	93.79	chr01	chr01
1389111	1394611	1436192	1441685	5501	5494	96.59	chr01	chr01
1394603	1397645	1442299	1445315	3043	3017	94.87	chr01	chr01
1399186	1414582	1445980	1461365	15397	15386	98.98	chr01	chr01
1414582	1417994	16496710	16493298	3413	3413	98.48	chr01	chr01
1421856	1423940	1461355	1463446	2085	2092	99.14	chr01	chr01
1423951	1461849	1463817	1501763	37899	37947	98.85	chr01	chr01
1462110	1464749	1501758	1504395	2640	2638	99.39	chr01	chr01
1465000	1465785	1504364	1505120	786	757	93.79	chr01	chr01
1465775	1474991	1505352	1514417	9217	9066	97.95	chr01	chr01
1475181	1479620	1514416	1518855	4440	4440	98.97	chr01	chr01
1479620	1480030	1518799	1519209	411	411	99.76	chr01	chr01
1484484	1492940	1519209	1527625	8457	8417	98.79	chr01	chr01
1493090	1495718	1527622	1530253	2629	2632	99.58	chr01	chr01
1495757	1519691	1530249	1554198	23935	23950	98.37	chr01	chr01
1520631	1521612	34474519	34475493	982	975	89.88	chr01	chr01
1521618	1521960	17918094	17917751	343	344	95.35	chr01	chr01
1523442	1524797	3892431	3891085	1356	1347	86.79	chr01	chr01
1529920	1530240	35816608	35816934	321	327	86.23	chr01	chr01
1530628	1541515	1554201	1565058	10888	10858	98.69	chr01	chr01
1541481	1541957	1565072	1565548	477	477	93.71	chr01	chr01
1541865	1545599	1569442	1573170	3735	3729	98.53	chr01	chr01
1545597	1546529	1573434	1574364	933	931	99.04	chr01	chr01
1546551	1556065	1574757	1584191	9515	9435	97.82	chr01	chr01
1556059	1559951	1588209	1592105	3893	3897	98.54	chr01	chr01
1559951	1564243	1592217	1596428	4293	4212	96.18	chr01	chr01
1564235	1589366	1596477	1621566	25132	25090	97.40	chr01	chr01
1589357	1600128	1622938	1633709	10772	10772	98.87	chr01	chr01
1600418	1600756	24686405	24686067	339	339	90.32	chr01	chr01
1601150	1611450	1633705	1644040	10301	10336	97.38	chr01	chr01
1611448	1660724	1644347	1693671	49277	49325	97.94	chr01	chr01
1654008	1685346	1686946	1718247	31339	31302	98.76	chr01	chr01
1685342	1713540	1718610	1746666	28199	28057	98.76	chr01	chr01
1713540	1715942	14152864	14155263	2403	2400	93.83	chr01	chr01
1715790	1716450	14183266	14183926	661	661	93.06	chr01	chr01
1716449	1717307	1746661	1747519	859	859	96.86	chr01	chr01
1717322	1717619	1747496	1747793	298	298	99.33	chr01	chr01
1717642	1717783	7512141	7512000	142	142	100.00	chr01	chr01
1717770	1718735	1747854	1748845	966	992	94.67	chr01	chr01
1725444	1728593	2223255	2220109	3150	3147	92.29	chr01	chr01
1741409	1749871	11145188	11136655	8463	8534	95.47	chr01	chr01
1749871	1753564	10306946	10310614	3694	3669	96.35	chr01	chr01
1753697	1757759	1752671	1756696	4063	4026	97.25	chr01	chr01
1758088	1785046	1756694	1783719	26959	27026	98.92	chr01	chr01
1785042	1790856	1784892	1790708	5815	5817	98.92	chr01	chr01
1790980	1791828	3332150	3331298	849	853	97.54	chr01	chr01
1791793	1792622	3332152	3331329	830	824	98.19	chr01	chr01
1792622	1793376	1790883	1791635	755	753	98.94	chr01	chr01
1793631	1796370	1791633	1794373	2740	2741	99.78	chr01	chr01
1796391	1798751	1794594	1796949	2361	2356	97.63	chr01	chr01
1798748	1799445	1797192	1797890	698	699	99.57	chr01	chr01
1799444	1802959	1797962	1801492	3516	3531	98.30	chr01	chr01
1802959	1803375	13987752	13988168	417	417	96.65	chr01	chr01
1802960	1803887	36985757	36984846	928	912	89.08	chr01	chr01
1803643	1805323	14069766	14068090	1681	1677	90.30	chr01	chr01
1805900	1845113	1801487	1840713	39214	39227	98.32	chr01	chr01
1845108	1849629	1849189	1853768	4522	4580	93.18	chr01	chr01
1849647	1850020	21942386	21942011	374	376	94.16	chr01	chr01
1850020	1856280	1853759	1859954	6261	6196	97.01	chr01	chr01
1856278	1857368	2751115	2750029	1091	1087	97.53	chr01	chr01
1857367	1863880	1859949	1866487	6514	6539	97.17	chr01	chr01
1864494	1867841	1866480	1869818	3348	3339	97.94	chr01	chr01
1867836	1868627	21551092	21551883	792	792	98.23	chr01	chr01
1868628	1870223	1869812	1871408	1596	1597	98.81	chr01	chr01
1871372	1873604	19327350	19325112	2233	2239	94.06	chr01	chr01
1873604	1877747	1871403	1875522	4144	4120	98.07	chr01	chr01
1878446	1881167	1875554	1872854	2722	2701	97.65	chr01	chr01
1880713	1888080	1875895	1883276	7368	7382	97.79	chr01	chr01
1888494	1888937	1883659	1884120	444	462	84.58	chr01	chr01
1889043	1889798	1884250	1885026	756	777	81.07	chr01	chr01
1890210	1891208	1885572	1886570	999	999	96.30	chr01	chr01
1891574	1893236	1886568	1888207	1663	1640	92.71	chr01	chr01
1894993	1896917	1888219	1890189	1925	1971	93.19	chr01	chr01
1897266	1898932	1890190	1891865	1667	1676	96.19	chr01	chr01
1899185	1900395	1891862	1893074	1211	1213	96.88	chr01	chr01
1901518	1903234	1894644	1896358	1717	1715	96.20	chr01	chr01
1903436	1903954	1896361	1896879	519	519	98.08	chr01	chr01
1903945	1906332	1897498	1899826	2388	2329	94.90	chr01	chr01
1907039	1910040	1899820	1902815	3002	2996	98.67	chr01	chr01
1910038	1918438	1903049	1911353	8401	8305	96.70	chr01	chr01
1918430	1923024	1911841	1916429	4595	4589	99.04	chr01	chr01
1924854	1934817	1916421	1926374	9964	9954	99.54	chr01	chr01
1934816	1939635	1944400	1949233	4820	4834	99.19	chr01	chr01
1940772	1943540	1949048	1951814	2769	2767	98.05	chr01	chr01
1943815	1948239	1951812	1956246	4425	4435	98.92	chr01	chr01
1949911	1956955	1956246	1963297	7045	7052	99.35	chr01	chr01
1957061	2008397	1963295	2014594	51337	51300	98.97	chr01	chr01
2008839	2009321	34735529	34736012	483	484	92.81	chr01	chr01
2011437	2026044	2014595	2029151	14608	14557	98.32	chr01	chr01
2026041	2032323	2029485	2035748	6283	6264	98.36	chr01	chr01
2032252	2039092	2035846	2042711	6841	6866	98.08	chr01	chr01
2039358	2050480	2042711	2053845	11123	11135	97.77	chr01	chr01
2050296	2051082	2053848	2054636	787	789	97.47	chr01	chr01
2051079	2060530	2054920	2064310	9452	9391	98.64	chr01	chr01
2062530	2072475	2064308	2074253	9946	9946	98.60	chr01	chr01
2072471	2073329	2081054	2081912	859	859	99.42	chr01	chr01
2073326	2073738	2082596	2083006	413	411	99.03	chr01	chr01
2073730	2077453	2088234	2091874	3724	3641	96.20	chr01	chr01
2077340	2094537	2091907	2109075	17198	17169	98.26	chr01	chr01
2094530	2095783	2109576	2110807	1254	1232	94.16	chr01	chr01
2095722	2100826	2110805	2115904	5105	5100	95.33	chr01	chr01
2100831	2101676	2116141	2116984	846	844	94.41	chr01	chr01
2101689	2104031	2117309	2119643	2343	2335	96.19	chr01	chr01
2104049	2104208	19233126	19232967	160	160	100.00	chr01	chr01
2104202	2105809	2119651	2121250	1608	1600	97.20	chr01	chr01
2105812	2106428	2121399	2122014	617	616	96.12	chr01	chr01
2106749	2132029	2122044	2147340	25281	25297	98.78	chr01	chr01
2132029	2132689	29728010	29728697	661	688	91.44	chr01	chr01
2134058	2135127	22497342	22498404	1070	1063	92.72	chr01	chr01
2135737	2135868	2147598	2147729	132	132	92.42	chr01	chr01
2135872	2136547	16142947	16143678	676	732	79.33	chr01	chr01
2136552	2137540	2147736	2148731	989	996	90.23	chr01	chr01
2137353	2138248	2148729	2149574	896	846	88.54	chr01	chr01
2138657	2139568	2154864	2155751	912	888	90.04	chr01	chr01
2139568	2140915	2155913	2157277	1348	1365	91.70	chr01	chr01
2141031	2141329	2157277	2157575	299	299	94.10	chr01	chr01
2141450	2141773	2157575	2157900	324	326	90.88	chr01	chr01
2142023	2144692	2159556	2162278	2670	2723	87.99	chr01	chr01
2144867	2172991	2162278	2190485	28125	28208	98.65	chr01	chr01
2172989	2202189	2190851	2220108	29201	29258	99.28	chr01	chr01
2202185	2202623	2223256	2223694	439	439	98.41	chr01	chr01
2202619	2216444	2226797	2240703	13826	13907	98.66	chr01	chr01
2217035	2218236	2240700	2241856	1202	1157	94.60	chr01	chr01
2218377	2228076	2241856	2251583	9700	9728	99.01	chr01	chr01
2228272	2232418	2251581	2255712	4147	4132	99.32	chr01	chr01
2232566	2253865	2256316	2277637	21300	21322	98.82	chr01	chr01
2253599	2260438	2277645	2284471	6840	6827	98.85	chr01	chr01
2260436	2261303	34313450	34312582	868	869	99.31	chr01	chr01
2261314	2263016	34257574	34255872	1703	1703	99.77	chr01	chr01
2264052	2266103	34232687	34234761	2052	2075	98.55	chr01	chr01
2266103	2267552	2284464	2285901	1450	1438	98.00	chr01	chr01
2268710	2270066	2285901	2287246	1357	1346	98.82	chr01	chr01
2270180	2270441	2287243	2287494	262	252	95.80	chr01	chr01
2270452	2271034	2287601	2288177	583	577	98.46	chr01	chr01
2271172	2283258	2288955	2301039	12087	12085	99.50	chr01	chr01
2283252	2311516	2301279	2329501	28265	28223	98.37	chr01	chr01
2314036	2315308	2329775	2331017	1273	1243	95.00	chr01	chr01
2315858	2317499	2331029	2332680	1642	1652	94.95	chr01	chr01
2317502	2317700	909336	909533	199	198	90.45	chr01	chr01
2317702	2318857	2332673	2333827	1156	1155	97.50	chr01	chr01
2319096	2320394	2333823	2335120	1299	1298	93.55	chr01	chr01
2320390	2320465	2335134	2335057	76	78	93.59	chr01	chr01
2321220	2321444	2336294	2336498	225	205	88.00	chr01	chr01
2322062	2334324	2336509	2348754	12263	12246	96.99	chr01	chr01
2334629	2335385	35471974	35471230	757	745	94.85	chr01	chr01
2335385	2339236	2348779	2352624	3852	3846	95.59	chr01	chr01
2338282	2339440	2374472	2375622	1159	1151	93.15	chr01	chr01
2340971	2341232	41323853	41323592	262	262	90.46	chr01	chr01
2344734	2345112	23651200	23651576	379	377	91.82	chr01	chr01
2358077	2358875	2362843	2363607	799	765	80.64	chr01	chr01
2360721	2360965	4645888	4645634	245	255	91.37	chr01	chr01
2363187	2363465	2378246	2378538	279	293	90.14	chr01	chr01
2367176	2367714	2581634	2582173	539	540	90.55	chr01	chr01
2367709	2368330	2584854	2585471	622	618	95.23	chr01	chr01
2368330	2377108	2585626	2594300	8779	8675	97.87	chr01	chr01
2377103	2389718	2597276	2609862	12616	12587	99.10	chr01	chr01
2389719	2390319	43881846	43881246	601	601	99.50	chr01	chr01
2393085	2396403	2610088	2613372	3319	3285	97.24	chr01	chr01
2396393	2407568	2626206	2637199	11176	10994	97.53	chr01	chr01
2407553	2407654	9456277	9456379	102	103	99.03	chr01	chr01
2407676	2407906	2637191	2637412	231	222	93.94	chr01	chr01
2408225	2408476	1212991	1212741	252	251	89.72	chr01	chr01
2410138	2411057	2637417	2638339	920	923	99.35	chr01	chr01
2411850	2415200	2609507	2612846	3351	3340	97.86	chr01	chr01
2425070	2425314	2639358	2639599	245	242	94.69	chr01	chr01
2433664	2435769	31860977	31863095	2106	2119	93.21	chr01	chr01
2436434	2436588	1435068	1435222	155	155	100.00	chr01	chr01
2443863	2444265	909336	908943	403	394	89.08	chr01	chr01
2456799	2457202	2644002	2644410	404	409	86.86	chr01	chr01
2457331	2458291	2648149	2649106	961	958	89.01	chr01	chr01
2458289	2458528	2649363	2649618	240	256	84.50	chr01	chr01
2458553	2458631	598341	598419	79	79	100.00	chr01	chr01
2458850	2459002	2649867	2650018	153	152	96.73	chr01	chr01
2459003	2459215	28123722	28123934	213	213	99.06	chr01	chr01
2459214	2459861	24430976	24431653	648	678	92.68	chr01	chr01
2459862	2465485	2650010	2655571	5624	5562	97.36	chr01	chr01
2465482	2471199	2655779	2661300	5718	5522	93.76	chr01	chr01
2471197	2473974	2661536	2664295	2778	2760	88.52	chr01	chr01
2474155	2475368	2664540	2665765	1214	1226	95.36	chr01	chr01
2475505	2476737	2665765	2666976	1233	1212	91.73	chr01	chr01
2476736	2477028	16354440	16354728	293	289	95.56	chr01	chr01
2478220	2478370	3370298	3370149	151	150	97.35	chr01	chr01
2478723	2478843	2666976	2667096	121	121	98.35	chr01	chr01
2478831	2481184	2667342	2669694	2354	2353	94.79	chr01	chr01
2481410	2497907	2669692	2686041	16498	16350	98.32	chr01	chr01
2498037	2502187	2686041	2690194	4151	4154	95.22	chr01	chr01
2502666	2506032	2690400	2693727	3367	3328	90.27	chr01	chr01
2506032	2507557	2693870	2695392	1526	1523	94.78	chr01	chr01
2509640	2524906	2695490	2710774	15267	15285	99.42	chr01	chr01
2524898	2541032	2716010	2732166	16135	16157	98.65	chr01	chr01
2541029	2541341	2732529	2732841	313	313	99.68	chr01	chr01
2541342	2544451	2553547	2556683	3110	3137	94.93	chr01	chr01
2544452	2557560	2732837	2746011	13109	13175	98.76	chr01	chr01
2557561	2565837	16169926	16178190	8277	8265	97.97	chr01	chr01
2562133	2566090	42735945	42739915	3958	3971	98.44	chr01	chr01
2566834	2568646	2746047	2747860	1813	1814	98.57	chr01	chr01
2568552	2570854	2747679	2749980	2303	2302	98.35	chr01	chr01
2570854	2571233	16655408	16655791	380	384	93.52	chr01	chr01
2571257	2572199	12819651	12818719	943	933	84.54	chr01	chr01
2572035	2575069	20474053	20471034	3035	3020	92.35	chr01	chr01
2575120	2600308	2762954	2788085	25189	25132	98.26	chr01	chr01
2612635	2626255	2791977	2805702	13621	13726	96.57	chr01	chr01
2626108	2627819	2805699	2807459	1712	1761	96.08	chr01	chr01
2627820	2628446	3550696	3551321	627	626	96.34	chr01	chr01
2628449	2642280	2807452	2821246	13832	13795	98.75	chr01	chr01
2642136	2652529	2821311	2831690	10394	10380	99.11	chr01	chr01
2652584	2680589	2844674	2872625	28006	27952	98.71	chr01	chr01
2680591	2682035	2872718	2874161	1445	1444	98.89	chr01	chr01
2682186	2686630	2874165	2878579	4445	4415	98.11	chr01	chr01
2686678	2687300	2879409	2880033	623	625	94.74	chr01	chr01
2687299	2687637	2881587	2881925	339	339	97.94	chr01	chr01
2689342	2690409	2881911	2882976	1068	1066	97.57	chr01	chr01
2690720	2691089	2882972	2883341	370	370	97.03	chr01	chr01
2691078	2710332	2883572	2902810	19255	19239	98.88	chr01	chr01
2710459	2716152	2902795	2908486	5694	5692	94.47	chr01	chr01
2716954	2717698	2908657	2909396	745	740	96.65	chr01	chr01
2718036	2719119	2909388	2910423	1084	1036	90.39	chr01	chr01
2720006	2722037	2910422	2912459	2032	2038	96.38	chr01	chr01
2722029	2723471	2912793	2914229	1443	1437	93.24	chr01	chr01
2723461	2724291	2914695	2915552	831	858	93.29	chr01	chr01
2724300	2724932	2915858	2916527	633	670	89.10	chr01	chr01
2724929	2725219	2917450	2917742	291	293	97.27	chr01	chr01
2725549	2725675	2917739	2917865	127	127	99.21	chr01	chr01
2725677	2728479	2918641	2921434	2803	2794	96.27	chr01	chr01
2728658	2729643	40192371	40191389	986	983	92.84	chr01	chr01
2729996	2745428	2921430	2936758	15433	15329	97.66	chr01	chr01
2747230	2749238	2937558	2939565	2009	2008	98.11	chr01	chr01
2749268	2749915	2940164	2940795	648	632	91.85	chr01	chr01
2749913	2750035	2941149	2941271	123	123	97.56	chr01	chr01
2750279	2750393	2941720	2941833	115	114	91.45	chr01	chr01
2752858	2753636	2942000	2942740	779	741	90.31	chr01	chr01
2754401	2760321	2942901	2948834	5921	5934	94.08	chr01	chr01
2761431	2761822	2949456	2949849	392	394	92.52	chr01	chr01
2762032	2763425	2949847	2951231	1394	1385	94.80	chr01	chr01
2763415	2763793	2952229	2952592	379	364	93.14	chr01	chr01
2764077	2764492	2952653	2953079	416	427	92.51	chr01	chr01
2764489	2765726	2953332	2954601	1238	1270	92.87	chr01	chr01
2765718	2766143	2956210	2956617	426	408	88.34	chr01	chr01
2766140	2766315	2957225	2957413	176	189	88.89	chr01	chr01
2766664	2766845	2957405	2957587	182	183	95.63	chr01	chr01
2766838	2767992	2957739	2958853	1155	1115	88.76	chr01	chr01
2767978	2768094	2962043	2962159	117	117	95.73	chr01	chr01
2768094	2768299	11668032	11668237	206	206	100.00	chr01	chr01
2768371	2768549	2962622	2962801	179	180	84.13	chr01	chr01
